task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T028,T028-A-99-e3f21c,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,221,143,300,0.005163000000000001,0.000429,0.0,0.0,0.005592000000000001,False,False,0.2774169988697395,False,0.25,0,0,4223.140542002511,claude-sonnet-4-6
T028,T028-A-99-e3f21c,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,511,363,300,0.006033,0.0010890000000000001,0.0,0.0,0.007122,False,False,0.36720800562761724,False,0.25,0,0,5480.075915998896,claude-sonnet-4-6
T028,T028-A-99-e3f21c,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,558,498,300,0.006174000000000001,0.001494,0.0,0.0,0.007668000000000001,False,False,0.28900000324938446,True,0.75,0,0,6960.846834015683,claude-sonnet-4-6
T028,T028-A-99-e3f21c,cross-recon,cross-recon,99,sonnet,full-history,A,5,Billing,598,626,300,0.006294000000000001,0.0018780000000000001,0.0,0.0,0.008172,False,False,0.3179580089636147,False,0.5,0,0,5819.891708015348,claude-sonnet-4-6
T029,T029-A-99-28e785,extract,extract,99,sonnet,full-history,A,1,Billing,76,0,281,0.004443,0.0,0.0,0.0,0.004443,False,False,0.4005840019090101,True,0.8,0,0,6825.195542012807,claude-sonnet-4-6
T029,T029-A-99-28e785,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,236,160,300,0.005208000000000001,0.00048,0.0,0.0,0.005688000000000001,False,False,0.2743340010056272,False,0.6,0,0,4997.912125007133,claude-sonnet-4-6
T029,T029-A-99-28e785,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,524,346,300,0.006072000000000001,0.001038,0.0,0.0,0.007110000000000001,False,False,1.8696250044740736,False,0.2,0,0,5740.608915992198,claude-sonnet-4-6
T029,T029-A-99-28e785,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,564,476,300,0.0061920000000000005,0.001428,0.0,0.0,0.00762,False,False,0.3318330127513036,True,0.6,0,0,7306.549625005573,claude-sonnet-4-6
T029,T029-A-99-28e785,cross-recon,cross-recon,99,sonnet,full-history,A,5,Billing,600,600,300,0.0063,0.0018,0.0,0.0,0.0081,False,False,0.30908299959264696,True,0.6,0,0,6360.333998993156,claude-sonnet-4-6
T030,T030-A-99-82c978,extract,extract,99,sonnet,full-history,A,1,Billing,72,0,242,0.003846,0.0,0.0,0.0,0.003846,False,False,0.24554198898840696,True,1.0,0,0,6090.208166977391,claude-sonnet-4-6
